Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,PacketCounter
0.756165028,0.130676359,0.094787657,0.634155691,0.479999989,2.960000038,9.119999886,49
0.756882012,0.118100695,0.097043984,0.635424495,0.430000007,2.450000048,9.239999771,50
0.759169698,0.091798618,0.099428155,0.636669815,0.02,1.860000014,8.680000305,51
0.761451721,0.09698195,0.090512417,0.634502411,0.209999993,1.879999995,9.909999847,52
0.761361361,0.100098811,0.080262162,0.635505378,0.370000005,2.589999914,9.970000267,53
0.763068199,0.096741572,0.076294616,0.634465992,0.159999996,2.230000019,9.890000343,54
0.764538765,0.092408724,0.076539323,0.633311033,0.159999996,1.779999971,9.470000267,55
0.76481396,0.091672696,0.075376682,0.633225143,0.25,1.769999981,9.779999733,56
0.764701307,0.089537621,0.077452786,0.633416116,0.270000011,2.039999962,9.449999809,57
0.767640591,0.087768719,0.076721333,0.63018918,-0.079999998,1.769999981,10.15999985,58
0.768163621,0.086178854,0.07494875,0.629984498,0.280000001,2.24000001,9.409999847,59
0.768326938,0.084291354,0.073060639,0.630262494,0.140000001,2.0,9.550000191,60
0.769463181,0.086608097,0.06951841,0.628961563,0.140000001,1.75,9.68999958,61
0.770622551,0.093016692,0.065368026,0.627069235,0.460000008,1.769999981,10.03999996,62
0.772214055,0.089111008,0.068298094,0.625363946,0.159999996,1.820000052,9.729999542,63
0.770808876,0.08459428,0.064025536,0.62817049,0.189999998,2.069999933,9.56000042,64
0.771678627,0.078675449,0.061524324,0.628121853,0.180000007,1.419999957,9.430000305,65
0.772448659,0.073241025,0.05804351,0.628163815,0.25999999,1.399999976,9.739999771,66
0.776848614,0.065307043,0.055419434,0.623834848,-0.029999999,0.949999988,9.220000267,67
0.776613235,0.061645661,0.053161751,0.624696374,0.319999993,1.269999981,9.069999695,68
0.771674991,0.06420961,0.049805172,0.630804479,0.150000006,1.399999976,10.06000042,69
0.77002418,0.066528723,0.046692178,0.632816315,0.300000012,1.159999967,9.350000381,70
0.768172622,0.066404879,0.041686151,0.635423899,0.400000006,1.629999995,9.699999809,71
0.768441677,0.065857708,0.040039532,0.635261357,0.370000005,1.480000019,9.760000229,72
0.769062996,0.066591091,0.038331077,0.634537995,0.589999974,1.210000038,9.640000343,73
0.769165099,0.067077637,0.036682129,0.634460449,0.469999999,1.320000052,9.840000153,74
