Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,PacketCounter
0.6386429,0.1701091,-0.7765101,0.095185556,0.1140674,-1.5662814,0.87376976,23
-0.11460915,0.7432336,0.05937551,0.66285527,0.24379864,1.2619562,0.39862293,24
0.20833032,0.6216512,-0.32739273,0.67546946,-1.122224,-0.64904124,-0.85692877,25
-0.36580554,0.6590405,0.20336233,0.65455323,1.1115766,-1.5629568,2.3854973,26
-0.14447364,0.74493784,0.1423737,0.6780504,-0.038870238,0.7025394,1.0722848,27
0.7157085,0.20401534,-0.6764236,0.27961314,0.09506681,0.9708421,-1.0277935,28
-0.36322185,0.68655235,0.2131712,0.62782246,0.19367966,-1.9641831,-2.0357234,29
-0.24865523,0.7045935,0.19803353,0.60721856,0.3413172,0.21360475,-1.1421527,30
0.6510043,0.17251948,-0.67532283,0.38905564,0.2506168,-0.9853328,1.1732692,31
0.5091306,0.416124,-0.51680785,0.45349747,-0.07850287,1.111438,-0.57100886,32
0.59058225,0.24603751,-0.71835315,0.27867582,0.42999133,-0.45708454,-0.79476655,33
0.75686777,0.13830379,-0.78009874,0.21478999,-2.049651,-1.7699993,1.2951037,34
-0.039651275,0.7203823,0.1357999,0.6002545,-0.7779099,3.2871995,0.8486769,35
-0.22600713,0.7687509,0.16789334,0.62957275,-0.53089976,0.69843864,1.0291219,36
-0.22399336,0.72457856,0.16765212,0.63285553,-0.14254408,-4.587373,-0.8962712,37
-0.12291691,0.77203125,0.15926461,0.59153485,-0.047682613,1.5579555,-0.30892432,38
-0.4011145,0.7016211,0.34133428,0.6036307,2.8326483,1.0962245,2.2789989,39
-0.17161015,0.66279477,0.16108169,0.54972744,-0.91234535,0.044707652,0.3879239,40
-0.20152244,0.7386705,0.21523432,0.5523259,0.22157955,1.929897,1.3024657,41
0.22625424,0.69902056,-0.28263772,0.5893821,-0.05866933,-0.76585245,0.3601004,42
0.18362948,0.6240214,-0.38058394,0.646191,-0.8710996,-0.2000621,-0.7983884,43
-0.02741918,0.73325235,0.09935154,0.58803374,-0.6119716,1.8942175,0.20306133,44
-0.22751814,0.68181676,0.18201868,0.59136224,1.8093984,-0.8584488,1.2234756,45
-0.21842787,0.7254153,0.21707891,0.5936618,0.19064243,0.75783044,-0.92825377,46
0.08050845,0.79380524,-0.069038436,0.6892012,-0.02829594,2.0505114,0.72793067,47
0.6968422,0.22111937,-0.7251093,0.22700077,0.73867524,1.3494303,0.8878926,48
-0.15221974,0.7519116,0.13812263,0.70994025,-0.91083944,-4.487902,1.860269,49
-0.2320784,0.7142735,0.11549024,0.64458025,-1.46048,-2.747604,1.7452253,50
-0.097088605,0.7529302,-0.026619032,0.6280875,-0.33577305,-0.98392946,-0.04754345,51
-0.17470643,0.7840403,0.24065728,0.57183856,0.0795651,1.5931422,-0.20805074,52
-0.30060792,0.67884594,0.12113874,0.6671337,-0.24764812,-0.8383749,-1.7515235,53
-0.3338472,0.66061103,0.11518024,0.67479604,-0.04002712,-2.747664,-4.09343,54
0.6575659,0.17665085,-0.6620049,0.21940166,-0.13142462,0.02405813,-0.0624554,55
