sep=,
DeviceTag:,Xsens DOT1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.562 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
16, 745680517, 0.76571083, 0.014642181, -0.64067036, 0.054900087, -0.063624755, 0.031217495, 0.0066070557, 0
17, 745697184, 0.76554954, 0.0147239035, -0.6408572, 0.054945454, -0.044207733, 0.034175318, 0.025562286, 0
18, 745713851, 0.76538134, 0.014749328, -0.64105415, 0.05498519, -0.07244681, 0.03624639, 0.0152282715, 0
19, 745730518, 0.76522213, 0.014753724, -0.6412397, 0.055036698, -0.05709728, 0.033629425, 0.014127731, 0
20, 745747185, 0.76509875, 0.014701864, -0.6413836, 0.055089653, -0.057090126, 0.03482408, -0.0019083023, 0
21, 745763852, 0.76497865, 0.014659357, -0.64152306, 0.055145606, -0.14308316, 0.025168236, 0.04018879, 0
22, 745780519, 0.7648885, 0.0146008935, -0.6416312, 0.055153325, -0.09441679, 0.01627145, 0.057804108, 0
23, 745797186, 0.7647938, 0.014609136, -0.6417426, 0.055167727, -0.06836099, 0.009916543, 0.041321754, 0
24, 745813853, 0.7646722, 0.014613958, -0.64188796, 0.055160552, -0.1089268, 0.0013921853, 0.042757034, 0
25, 745830520, 0.76454735, 0.014592664, -0.6420386, 0.05514537, -0.12933354, 0.009517182, 0.028845787, 0
26, 745847187, 0.76440555, 0.014593266, -0.6422064, 0.055158067, -0.1275803, 0.015329971, -0.015138626, 0
27, 745863854, 0.7642715, 0.014541668, -0.64236933, 0.055132456, -0.11417042, 0.026330672, -0.037919044, 0
28, 745880521, 0.76414824, 0.014493263, -0.6425204, 0.05509218, -0.14143409, 0.020471893, -0.014321327, 0
29, 745897188, 0.7640136, 0.014490293, -0.64268327, 0.055060618, -0.13290215, -0.010509907, -0.005464554, 0
30, 745913855, 0.7638543, 0.014495803, -0.64287406, 0.05504097, -0.1352839, -0.019804351, 0.02929306, 0
31, 745930522, 0.76368856, 0.014496406, -0.64307463, 0.05499648, -0.16591367, -0.011664317, 0.046216965, 0
32, 745947189, 0.76349455, 0.014534633, -0.6433044, 0.054993268, -0.1483831, -0.011315231, 0.020813942, 0
33, 745963856, 0.763285, 0.014573081, -0.64355236, 0.05499352, -0.13798259, -0.0030964995, -4.1770935E-4, 0
34, 745980523, 0.7630949, 0.014601402, -0.643778, 0.054980483, -0.1228615, 0.0040691583, 0.0075950623, 0
35, 745997190, 0.7629215, 0.014609515, -0.64398557, 0.05495401, -0.12948106, 0.008523255, 0.031303406, 0
36, 746013857, 0.7627553, 0.014628013, -0.6441827, 0.054946315, -0.152637, 0.01341385, 0.027188301, 0
37, 746030524, 0.762571, 0.014631079, -0.64440304, 0.054919377, -0.17661367, 0.010118942, 0.05684185, 0
38, 746047191, 0.76239973, 0.014638439, -0.6446056, 0.054917995, -0.18096995, -0.004401494, 0.04728985, 0
39, 746063858, 0.76224226, 0.014664868, -0.6447907, 0.054923274, -0.19903381, -0.01000942, 0.024443626, 0
40, 746080525, 0.762086, 0.014707163, -0.64497495, 0.05491671, -0.1622883, -0.016333314, -3.004074E-4, 0
41, 746097192, 0.7619338, 0.014761827, -0.64515334, 0.054919694, -0.17295343, -0.027926212, 0.0069446564, 0
42, 746113859, 0.76177615, 0.0147984605, -0.64533836, 0.054925125, -0.18193954, -0.0013732497, 0.007446289, 0
43, 746130526, 0.7616005, 0.014845632, -0.6455418, 0.054956917, -0.22734128, 0.013954501, 0.004392624, 0
44, 746147193, 0.76142097, 0.014892098, -0.6457486, 0.055000946, -0.23991792, 0.019830747, 0.021157265, 0
45, 746163860, 0.761254, 0.0149205215, -0.6459417, 0.055037223, -0.23563004, 0.024273423, 0.011756897, 0
46, 746180527, 0.7610777, 0.014920133, -0.64614934, 0.055038247, -0.2113856, -0.008630834, 0.034330368, 0
47, 746197194, 0.76089764, 0.014955348, -0.6463582, 0.055066396, -0.20707493, -0.013073399, 0.04874897, 0
